TrainError,alpha,lambda,valdationError
0.0,0.0,0.0,0.0
0.24597989949748744,0.01,0.01,0.24732158538727242
0.2452889447236181,0.01,0.03,0.24708740706047655
0.24526800670016752,0.01,0.1,0.24711667935132603
0.2373743718592965,0.01,0.5,0.23912534394941748
0.24597989949748744,0.03,0.01,0.24732158538727242
0.2452889447236181,0.03,0.03,0.24708740706047655
0.24526800670016752,0.03,0.1,0.24711667935132603
0.2373743718592965,0.03,0.5,0.23912534394941748
0.24597989949748744,0.1,0.01,0.24732158538727242
0.2452889447236181,0.1,0.03,0.24708740706047655
0.24526800670016752,0.1,0.1,0.24711667935132603
0.2373743718592965,0.1,0.5,0.23912534394941748
0.24597989949748744,0.5,0.01,0.24732158538727242
0.2452889447236181,0.5,0.03,0.24708740706047655
0.24526800670016752,0.5,0.1,0.24711667935132603
0.2373743718592965,0.5,0.5,0.23912534394941748
